FinalPosition,RaceNumber,FirstName,LastName,TotalPoints,RacesParticipated,BestPosition,WorstResultDropped,WorstRace,Race_alba_damascena,Race_buhovo,Race_gorna_malina,Race_kirkovo,Race_kyrnare,Race_six_days,Race_stara_zagora
89,490,Николай,ДИМОВ,0.0,1,37,,,0,0,0,0,0.0,0,0
90,445,Ангел,НАЧЕВ,0.0,4,37,,,0.0,0,0.0,0,0.0,0,0.0
91,49,Борислав,ЦАЧЕВ,0.0,1,37,,,0,0.0,0,0,0,0,0
92,98,Светлин,КАЦАРСКИ,0.0,1,38,,,0,0,0,0,0.0,0,0
93,404,Марин,БИЛБИЛЕВ,0.0,4,39,,,0,0.0,0.0,0,0.0,0,0.0
94,258,Самуил,КИРАНЧЕВ,0.0,1,39,,,0,0,0,0,0,0,0.0
95,861,Александър,ПЕТКОВ,0.0,4,39,,,0.0,0.0,0,0,0.0,0,0.0
96,206,Пламен,КАЛИНОВ,0.0,4,40,,,0.0,0.0,0.0,0,0.0,0,0
97,733,Илиян,СЛАВОВ,0.0,3,40,,,0.0,0.0,0,0,0.0,0,0
98,990,Радостин,ИВАНОВ,0.0,1,42,,,0,0,0.0,0,0,0,0
99,693,Стойчо,БОЙКОВ,0.0,2,44,,,0,0.0,0,0,0,0,0.0
100,224,Кирил,ПЕЛОВ,0.0,1,45,,,0,0,0.0,0,0,0,0
101,963,Михаил,ТОДОРОВ,0.0,2,45,,,0,0.0,0,0,0.0,0,0
102,136,Стоян,ПОПОВ,0.0,1,46,,,0,0,0,0,0,0,0.0
103,517,Марио,ЧАКЪРОВ,0.0,1,47,,,0,0,0,0,0,0,0.0
104,195,Илиян,ИЛИЕВ,0.0,1,48,,,0.0,0,0,0,0,0,0
105,141,Александър,ПИРИШАНЧИН,0.0,1,48,,,0,0,0.0,0,0,0,0
106,46,Мирослав,КОСТАДИНОВ,0.0,1,49,,,0,0.0,0,0,0,0,0
107,821,Веселин,МИТЕВ,0.0,1,49,,,0.0,0,0,0,0,0,0
108,300,Станислав,КАНЧЕВ,0.0,1,50,,,0,0,0.0,0,0,0,0
109,513,Генади,АСЕНОВ,0.0,1,51,,,0,0.0,0,0,0,0,0
110,993,Борислав,НИКОЛОВ,0.0,2,52,,,0,0.0,0,0,0.0,0,0
111,216,Цветомир,ЦВЕТКОВ,0.0,1,55,,,0,0.0,0,0,0,0,0
112,392,Емил,ДЖЕРМАНОВ,0.0,2,56,,,0.0,0,0,0,0.0,0,0
113,726,Александър,ТОТЕВ,0.0,1,57,,,0,0,0,0,0.0,0,0
114,531,Пламен,ТЕНЕВ,0.0,1,59,,,0,0.0,0,0,0,0,0
115,975,Виктор,АНДОНОВ,0.0,1,61,,,0,0.0,0,0,0,0,0
116,86,Свилен,ГОСПОДИНОВ,0.0,2,61,,,0,0.0,0,0,0.0,0,0
117,557,Николай,ДЖОГОЛАНОВ,0.0,1,63,,,0,0.0,0,0,0,0,0
118,413,Светлозар,ВАСИЛЕВ,0.0,1,66,,,0,0.0,0,0,0,0,0
