year,event_file,event,day,class,status,position,start_number,rider_name,motorcycle,club,ride_time,gps_penalty,cp_penalty,laps,total_time,start_time,finish_time,points,gap_to_leader,partial_time
2021,hard_enduro_alba-damascena-2021-day1.pdf,ENDUROX ALBA-DAMASCENA 2021,1,ПРОФИ,FIN,1,1,Любомир ИВАНОВ,GasGas Ec300i,МСК ПРЕПАРАТОРИТЕ,03:50:53,,,1,3:50:53.2,10:00:00,13:50:53,25,0,
2021,hard_enduro_alba-damascena-2021-day1.pdf,ENDUROX ALBA-DAMASCENA 2021,1,ПРОФИ,FIN,2,272,Кристиан ПЕТРОВ,KTM 300 EXC,МСК ХАРД РАЙДЪРС,03:59:32,,,1,3:59:32.5,10:00:30,14:00:02,22,8:39.3,
2021,hard_enduro_alba-damascena-2021-day1.pdf,ENDUROX ALBA-DAMASCENA 2021,1,ПРОФИ,FIN,3,212,Мартин ПЕТКОВ,HUSQVARNA TE300I,СК ЕКСТРИЙМ РЕЙСИНГ,04:26:22,,,1,4:26:22.9,10:01:30,14:27:52,20,35:29.7,
2021,hard_enduro_alba-damascena-2021-day1.pdf,ENDUROX ALBA-DAMASCENA 2021,1,ПРОФИ,FIN,4,30,Илиян КУЗМАНОВ,Honda,СК АФГ ТИМ,04:29:40,,,1,4:29:40.9,10:01:00,14:30:40,18,38:47.7,
2021,hard_enduro_alba-damascena-2021-day1.pdf,ENDUROX ALBA-DAMASCENA 2021,1,ПРОФИ,FIN,5,26,Георги ТОПАЛОВ,Husqvarna TX 300i,МСК ХАРД РАЙДЪРС,06:10:51,,,1,6:10:51.7,10:02:00,16:12:51,16,2:19:58.5,
2021,hard_enduro_alba-damascena-2021-day1.pdf,ENDUROX ALBA-DAMASCENA 2021,1,ПРОФИ,DNF,,99,Светослав МАРИНОВ Sherco 300 SE,,,,,,,,,,,,
2021,hard_enduro_alba-damascena-2021-day1.pdf,ENDUROX ALBA-DAMASCENA 2021,1,ПРОФИ,DNF,,165,Лъчезар БЛИЗНАКОВ KTM 500 EXC,,,,,,,,,,,,
2021,hard_enduro_alba-damascena-2021-day1.pdf,ENDUROX ALBA-DAMASCENA 2021,1,ПРОФИ,DNF,,202,Павел ГЕОРГИЕВ Beta RR300,,,,,,,,,,,,
2021,hard_enduro_alba-damascena-2021-day1.pdf,ENDUROX ALBA-DAMASCENA 2021,1,ПРОФИ,DNF,,251,Георги ГЕОРГИЕВ Beta 300,,,,,,,,,,,,
2021,hard_enduro_alba-damascena-2021-day1.pdf,ENDUROX ALBA-DAMASCENA 2021,1,ЕКСПЕРТ,FIN,1,112,Станислав КИРИЛОВ,Husqvarna,МСК ХАРД РАЙДЪРС,02:43:12,,,1,2:43:12.4,10:20:00,13:03:12,25,0,
2021,hard_enduro_alba-damascena-2021-day1.pdf,ENDUROX ALBA-DAMASCENA 2021,1,ЕКСПЕРТ,FIN,2,250,Александър ПОПМИНЧЕВ,Хускварна,АЛБА ДАМАСЦЕНА -МСК,02:48:04,,,1,2:48:04.9,10:23:30,13:11:34,22,4:52.5,
2021,hard_enduro_alba-damascena-2021-day1.pdf,ENDUROX ALBA-DAMASCENA 2021,1,ЕКСПЕРТ,FIN,3,518,Камен ДОЧЕВ,Sherco 300,МСК ЕНДУРО СЕВЛИЕВО,02:56:52,,,1,2:56:52.6,10:19:30,13:16:22,20,13:40.2,
2021,hard_enduro_alba-damascena-2021-day1.pdf,ENDUROX ALBA-DAMASCENA 2021,1,ЕКСПЕРТ,FIN,4,180,Николай СЛАВОВ,KTM 300 EXC,НК ЕНДУРО ВИКТОРИ,03:04:26,,,1,3:04:26.5,10:19:00,13:23:26,18,21:14.1,
2021,hard_enduro_alba-damascena-2021-day1.pdf,ENDUROX ALBA-DAMASCENA 2021,1,ЕКСПЕРТ,FIN,5,125,Десислав ЦЕКОВ,Husqvarna TE300,МСК ХАРД РАЙДЪРС,03:09:28,,,1,3:09:28.3,10:22:30,13:31:58,16,26:15.9,
2021,hard_enduro_alba-damascena-2021-day1.pdf,ENDUROX ALBA-DAMASCENA 2021,1,ЕКСПЕРТ,FIN,6,102,Атанас АНГЕЛОВ,Husqvarna TE300i,МСК ХАРД РАЙДЪРС,03:11:32,,,1,3:11:32.9,10:20:30,13:32:02,15,28:20.5,
2021,hard_enduro_alba-damascena-2021-day1.pdf,ENDUROX ALBA-DAMASCENA 2021,1,ЕКСПЕРТ,FIN,7,17,Богдан ЛОЛОВ,KTM,ЕНДУРО КЛУБ СЕВТОПОЛИС,03:11:48,,,1,3:11:48.7,10:25:30,13:37:18,14,28:36.3,
2021,hard_enduro_alba-damascena-2021-day1.pdf,ENDUROX ALBA-DAMASCENA 2021,1,ЕКСПЕРТ,FIN,8,131,Борис ЧАКЪРОВ,KTM 300 EXC,МСК МОТО ДРУЖИНА БАНСК,02:42:12,00:30:00,,1,3:12:13.0,10:21:30,13:03:42,13,29:00.6,
2021,hard_enduro_alba-damascena-2021-day1.pdf,ENDUROX ALBA-DAMASCENA 2021,1,ЕКСПЕРТ,FIN,9,715,Христо ГЕОРГИЕВ,KTM 300,ЕК ЛУДА РАБОТА,03:18:41,,,1,3:18:41.2,10:24:00,13:42:41,12,35:28.8,
2021,hard_enduro_alba-damascena-2021-day1.pdf,ENDUROX ALBA-DAMASCENA 2021,1,ЕКСПЕРТ,FIN,10,11,Иван ПЕЧЕВ,Балкан 50,МСК ХАРД РАЙДЪРС,03:27:23,,,1,3:27:23.3,10:21:00,13:48:23,11,44:10.9,
2021,hard_enduro_alba-damascena-2021-day1.pdf,ENDUROX ALBA-DAMASCENA 2021,1,ЕКСПЕРТ,FIN,11,613,Светослав ПАШЕВ,HUSQVARNA 300TE,МСК ХАРД РАЙДЪРС,03:28:38,,,1,3:28:38.9,10:27:00,13:55:38,10,45:26.5,
2021,hard_enduro_alba-damascena-2021-day1.pdf,ENDUROX ALBA-DAMASCENA 2021,1,ЕКСПЕРТ,FIN,12,845,Валентин ПЕТКОВ,husqvarna te300i,МОТОЦИКЛЕТЕН КЛУБ БОЛЯР,03:28:50,,,1,3:28:50.6,10:34:00,14:02:50,9,45:38.2,
2021,hard_enduro_alba-damascena-2021-day1.pdf,ENDUROX ALBA-DAMASCENA 2021,1,ЕКСПЕРТ,FIN,13,412,Цветан МИХАЙЛОВ,Honda CRE 250,МСК ПРЕПАРАТОРИТЕ,03:28:53,,,1,3:28:53.8,10:28:30,13:57:23,8,45:41.4,
2021,hard_enduro_alba-damascena-2021-day1.pdf,ENDUROX ALBA-DAMASCENA 2021,1,ЕКСПЕРТ,FIN,14,168,Светломир БОНЕВ,Husqvarna,МСК ХАРД РАЙДЪРС,03:30:37,,,1,3:30:37.7,10:27:30,13:58:07,7,47:25.3,
2021,hard_enduro_alba-damascena-2021-day1.pdf,ENDUROX ALBA-DAMASCENA 2021,1,ЕКСПЕРТ,FIN,15,29,Руслан ЦВЕТАНОВ,KTM sx-50,НК ЕНДУРО ВИКТОРИ,03:31:41,,,1,3:31:41.3,10:25:00,13:56:41,6,48:28.9,
2021,hard_enduro_alba-damascena-2021-day1.pdf,ENDUROX ALBA-DAMASCENA 2021,1,ЕКСПЕРТ,FIN,16,69,Михаил МИТОВ,KTM 300 EXC,МСК ХАРД РАЙДЪРС,03:33:59,,,1,3:33:59.2,10:24:30,13:58:29,5,50:46.8,
2021,hard_enduro_alba-damascena-2021-day1.pdf,ENDUROX ALBA-DAMASCENA 2021,1,ЕКСПЕРТ,FIN,17,51,Марио ЗАРОВ,Ktm freeride 250r,МСК ХАРД РАЙДЪРС,03:35:27,,,1,3:35:27.4,10:29:30,14:04:57,4,52:15.0,
2021,hard_enduro_alba-damascena-2021-day1.pdf,ENDUROX ALBA-DAMASCENA 2021,1,ЕКСПЕРТ,FIN,18,128,Божидар КРЪСТЕВ,Husqvarna te300i,ЕНДУРО КЛУБ СЕВТОПОЛИС,03:35:39,,,1,3:35:39.9,10:31:30,14:07:09,3,52:27.5,
2021,hard_enduro_alba-damascena-2021-day1.pdf,ENDUROX ALBA-DAMASCENA 2021,1,ЕКСПЕРТ,FIN,19,31,Христо МИХОВ,KTM 450,МСК БАБИЧКА РЕЙСИНГ,03:38:37,,,1,3:38:37.8,10:30:30,14:09:07,2,55:25.4,
2021,hard_enduro_alba-damascena-2021-day1.pdf,ENDUROX ALBA-DAMASCENA 2021,1,ЕКСПЕРТ,FIN,20,27,Ясен ГЕОРГИЕВ,Beta 300 RR,МСК ХАРД РАЙДЪРС,03:39:13,,,1,3:39:13.7,10:31:00,14:10:13,1,56:01.3,
2021,hard_enduro_alba-damascena-2021-day1.pdf,ENDUROX ALBA-DAMASCENA 2021,1,ЕКСПЕРТ,FIN,21,916,Росен ЖЕЛЯЗКОВ,GASGAS 300,МСК МОТО ДРУЖИНА БАНСК,03:47:05,,,1,3:47:05.6,10:30:00,14:17:05,0,1:03:53.2,
2021,hard_enduro_alba-damascena-2021-day1.pdf,ENDUROX ALBA-DAMASCENA 2021,1,ЕКСПЕРТ,FIN,22,979,Саво ВЕНКОВ,Хускварна 300,МСК ПРЕПАРАТОРИТЕ,03:47:26,,,1,3:47:26.4,10:26:30,14:13:56,0,1:04:14.0,
2021,hard_enduro_alba-damascena-2021-day1.pdf,ENDUROX ALBA-DAMASCENA 2021,1,ЕКСПЕРТ,FIN,23,988,Красимир ДИМИТРОВ,Ктм 300,МСК ХАРД ЕНДУРО ПЛЕВЕН,03:55:12,,,1,3:55:12.3,10:40:00,14:35:12,0,1:11:59.9,
2021,hard_enduro_alba-damascena-2021-day1.pdf,ENDUROX ALBA-DAMASCENA 2021,1,ЕКСПЕРТ,FIN,24,540,Жечко ЗДРАВКОВСКИ,Ктм ехс300,МСК БЪРЗИЯ - МХ ЕНДУРО РЕ,03:55:40,,,1,3:55:40.5,10:39:30,14:35:10,0,1:12:28.1,
2021,hard_enduro_alba-damascena-2021-day1.pdf,ENDUROX ALBA-DAMASCENA 2021,1,ЕКСПЕРТ,FIN,25,992,Благовест ЗДРАВКОВСКИ,KTM,МСК БЪРЗИЯ - МХ ЕНДУРО РЕ,04:15:14,,,1,4:15:14.1,10:35:30,14:50:44,0,1:32:01.7,
2021,hard_enduro_alba-damascena-2021-day1.pdf,ENDUROX ALBA-DAMASCENA 2021,1,ЕКСПЕРТ,FIN,26,42,Илиян ИЛИЕВ,Beta 300,СК ЕКСТРИЙМ РЕЙСИНГ,04:23:56,,,1,4:23:56.5,10:32:00,14:55:56,0,1:40:44.1,
2021,hard_enduro_alba-damascena-2021-day1.pdf,ENDUROX ALBA-DAMASCENA 2021,1,ЕКСПЕРТ,FIN,27,292,Светослав ХРИСТОВ,Хускварна 500,ХАРД ЕНДУРО КЛУБ КЪРТАЧИ,04:28:07,,,1,4:28:07.5,10:28:00,14:56:07,0,1:44:55.1,
2021,hard_enduro_alba-damascena-2021-day1.pdf,ENDUROX ALBA-DAMASCENA 2021,1,ЕКСПЕРТ,FIN,28,109,Цветомир ПАПАЗОВ,HUSQVARNA 450 FE,МОТОЦИКЛЕТЕН КЛУБ БОЛЯР,04:35:50,,,1,4:35:50.7,10:36:30,15:12:20,0,1:52:38.3,
2021,hard_enduro_alba-damascena-2021-day1.pdf,ENDUROX ALBA-DAMASCENA 2021,1,ЕКСПЕРТ,FIN,29,224,Виктор ХРИСТОВ,GASGAS 300,ДЖИ АР СИ МОТОРСПОРТ 20,04:54:22,,,1,4:54:22.7,10:38:30,15:32:52,0,2:11:10.3,
2021,hard_enduro_alba-damascena-2021-day1.pdf,ENDUROX ALBA-DAMASCENA 2021,1,ЕКСПЕРТ,FIN,30,25,Бижо БИЖЕВ,Beta 300RR,МСК ХАРД РАЙДЪРС,05:17:35,,,1,5:17:35.5,10:33:30,15:51:05,0,2:34:23.1,
2021,hard_enduro_alba-damascena-2021-day1.pdf,ENDUROX ALBA-DAMASCENA 2021,1,ЕКСПЕРТ,FIN,31,905,Цветелин КОСТАДИНОВ,Ktm exc 350,НК ЕНДУРО ВИКТОРИ,05:18:03,,,1,5:18:03.7,10:33:00,15:51:03,0,2:34:51.3,
2021,hard_enduro_alba-damascena-2021-day1.pdf,ENDUROX ALBA-DAMASCENA 2021,1,ЕКСПЕРТ,FIN,32,666,Цветан ДЕНЕВ,KTM 300 EXC,АЛБА ДАМАСЦЕНА -МСК,05:36:15,,,1,5:36:15.8,10:32:30,16:08:45,0,2:53:03.4,
2021,hard_enduro_alba-damascena-2021-day1.pdf,ENDUROX ALBA-DAMASCENA 2021,1,ЕКСПЕРТ,FIN,33,307,Георги ИВАНОВ,Beta RR 300,ЕК ЛУДА РАБОТА,07:09:32,,,1,7:09:32.2,10:41:00,17:50:32,0,4:26:19.8,
2021,hard_enduro_alba-damascena-2021-day1.pdf,ENDUROX ALBA-DAMASCENA 2021,1,ЕКСПЕРТ,FIN,34,86,Данко СЛАВОВ,Бета 450,МСК ХАРД РАЙДЪРС,06:45:59,01:00:00,,1,7:45:59.3,10:36:00,17:21:59,0,5:02:46.9,
2021,hard_enduro_alba-damascena-2021-day1.pdf,ENDUROX ALBA-DAMASCENA 2021,1,ЕКСПЕРТ,DNF,,169,Илиян КРЪСТЕВ husqvarna te300i 4:27:46.7,,,,,,,,,,,,
2021,hard_enduro_alba-damascena-2021-day1.pdf,ENDUROX ALBA-DAMASCENA 2021,1,ЕКСПЕРТ,DNF,,211,Стефан БРАТОВ Yamaha WR 450,,,,,,,,,,,,
2021,hard_enduro_alba-damascena-2021-day1.pdf,ENDUROX ALBA-DAMASCENA 2021,1,ЕКСПЕРТ,DNF,,214,Георги АНЧЕВ KTM,,,,,,,,,,,,
2021,hard_enduro_alba-damascena-2021-day1.pdf,ENDUROX ALBA-DAMASCENA 2021,1,ЕКСПЕРТ,DNF,,218,Николай НЕДЯЛКОВ Husquvarna 6:14:35.5,,,,,,,,,,,,
2021,hard_enduro_alba-damascena-2021-day1.pdf,ENDUROX ALBA-DAMASCENA 2021,1,ЕКСПЕРТ,DNF,,232,Мирослав СТОЯНОВ KTM 350 sxf,,,,,,,,,,,,
2021,hard_enduro_alba-damascena-2021-day1.pdf,ENDUROX ALBA-DAMASCENA 2021,1,ЕКСПЕРТ,DNF,,241,Веселин МИТЕВ GASGAS EC350F 3:24:52.2,,,,,,,,,,,,
2021,hard_enduro_alba-damascena-2021-day1.pdf,ENDUROX ALBA-DAMASCENA 2021,1,ЕКСПЕРТ,DNF,,400,Иван ГЕНЧЕВ Sherco 300 se,,,,,,,,,,,,
2021,hard_enduro_alba-damascena-2021-day1.pdf,ENDUROX ALBA-DAMASCENA 2021,1,ЕКСПЕРТ,DNF,,430,Иван ЦОНЧЕВ Husqvarna TE 300 3:11:03.9,,,,,,,,,,,,
2021,hard_enduro_alba-damascena-2021-day1.pdf,ENDUROX ALBA-DAMASCENA 2021,1,ЕКСПЕРТ,DNF,,555,Александър ЦЕНОВ Beta 300rr 3:10:43.1,,,,,,,,,,,,
2021,hard_enduro_alba-damascena-2021-day1.pdf,ENDUROX ALBA-DAMASCENA 2021,1,ЕКСПЕРТ,DNF,,633,Камен МИЛЕВ Husqvarna TE 6:08:08.4,,,,,,,,,,,,
2021,hard_enduro_alba-damascena-2021-day1.pdf,ENDUROX ALBA-DAMASCENA 2021,1,ЕКСПЕРТ,DNF,,771,Денис ТОДОРОВ KTM,,,,,,,,,,,,
2021,hard_enduro_alba-damascena-2021-day1.pdf,ENDUROX ALBA-DAMASCENA 2021,1,СЕНЬОРИ,FIN,1,54,Габриел ТОТЕВ,KTM 450 EXC,АЛБА ДАМАСЦЕНА - МСК,03:01:40,,,1,3:01:40.2,10:09:00,13:10:40,25,0,
2021,hard_enduro_alba-damascena-2021-day1.pdf,ENDUROX ALBA-DAMASCENA 2021,1,СЕНЬОРИ,FIN,2,74,Асан ИМАМОВ,KTM,ЕНДУРО КЛУБ КОРНИЦА,03:08:28,,,1,3:08:28.6,10:06:00,13:14:28,22,6:48.4,
2021,hard_enduro_alba-damascena-2021-day1.pdf,ENDUROX ALBA-DAMASCENA 2021,1,СЕНЬОРИ,FIN,3,523,Георги ДАМЯНОВ,Husqvarna te 300,МСК ХАРД РАЙДЪРС,03:14:24,,,1,3:14:24.4,10:07:00,13:21:24,20,12:44.2,
2021,hard_enduro_alba-damascena-2021-day1.pdf,ENDUROX ALBA-DAMASCENA 2021,1,СЕНЬОРИ,FIN,4,5,Радостин ГЕОРГИЕВ,KTM 300,ЕК ЛУДА РАБОТА,03:15:37,,,1,3:15:37.7,10:07:30,13:23:07,18,13:57.5,
2021,hard_enduro_alba-damascena-2021-day1.pdf,ENDUROX ALBA-DAMASCENA 2021,1,СЕНЬОРИ,FIN,5,70,Стоян ПАЧАРОЗОВ,KTM 200,МСК ЕКС ЕНДУРО КЪРНАРЕ,03:17:43,,,1,3:17:43.7,10:06:30,13:24:13,16,16:03.5,
2021,hard_enduro_alba-damascena-2021-day1.pdf,ENDUROX ALBA-DAMASCENA 2021,1,СЕНЬОРИ,FIN,6,89,Добрин ДОБРЕВ,Husqvarna TE300i,АЛБА ДАМАСЦЕНА -МСК,03:55:48,,,1,3:55:48.9,10:13:30,14:09:18,15,54:08.7,
2021,hard_enduro_alba-damascena-2021-day1.pdf,ENDUROX ALBA-DAMASCENA 2021,1,СЕНЬОРИ,FIN,7,225,Иван СПАСОВ,ktm 300,СК КЪРТАЧИТЕ,03:56:39,,,1,3:56:39.8,10:08:00,14:04:39,14,54:59.6,
2021,hard_enduro_alba-damascena-2021-day1.pdf,ENDUROX ALBA-DAMASCENA 2021,1,СЕНЬОРИ,FIN,8,129,Георги КЪНЧЕВ,KTM 250 EXC,ЕНДУРО КЛУБ СЕВТОПОЛИС,03:58:05,,,1,3:58:05.6,10:10:30,14:08:35,13,56:25.4,
2021,hard_enduro_alba-damascena-2021-day1.pdf,ENDUROX ALBA-DAMASCENA 2021,1,СЕНЬОРИ,FIN,9,302,Благой ТОДОРОВ,KTM,МСК МОТО ДРУЖИНА БАНСК,04:26:12,,,1,4:26:12.7,10:11:30,14:37:42,12,1:24:32.5,
2021,hard_enduro_alba-damascena-2021-day1.pdf,ENDUROX ALBA-DAMASCENA 2021,1,СЕНЬОРИ,FIN,10,81,Мильо МИЛЕВ,Beta rr300,ЕК ЛУДА РАБОТА,04:26:13,,,1,4:26:13.4,10:09:30,14:35:43,11,1:24:33.2,
2021,hard_enduro_alba-damascena-2021-day1.pdf,ENDUROX ALBA-DAMASCENA 2021,1,СЕНЬОРИ,FIN,11,855,Руси ТЕНЕВ,KTM 300 EXC,ЕНДУРО КЛУБ СЕВТОПОЛИС,05:10:17,,,1,5:10:17.8,10:12:30,15:22:47,10,2:08:37.6,
2021,hard_enduro_alba-damascena-2021-day1.pdf,ENDUROX ALBA-DAMASCENA 2021,1,СЕНЬОРИ,FIN,12,303,Емил БРАТОЕВ,Хускварна те 300,МСК ХАРД ЕНДУРО ПЛЕВЕН,05:14:47,,,1,5:14:47.2,10:08:30,15:23:17,9,2:13:07.0,
2021,hard_enduro_alba-damascena-2021-day1.pdf,ENDUROX ALBA-DAMASCENA 2021,1,СЕНЬОРИ,FIN,13,727,Ивайло ПЕТРОВ,KTM 300 EXC,МСК ХАРД РАЙДЪРС,05:18:27,,,1,5:18:27.8,10:11:00,15:29:27,8,2:16:47.6,
2021,hard_enduro_alba-damascena-2021-day1.pdf,ENDUROX ALBA-DAMASCENA 2021,1,СЕНЬОРИ,FIN,14,50,Панчо КУЗМАНОВ,Honda CR 250,СК АФГ ТИМ,06:32:38,,,1,6:32:38.3,10:10:00,16:42:38,7,3:30:58.1,
2021,hard_enduro_alba-damascena-2021-day1.pdf,ENDUROX ALBA-DAMASCENA 2021,1,СЕНЬОРИ,FIN,15,149,Донислав ВАЧЕВ,KTM 350,МСК ХАРД РАЙДЪРС,06:57:21,,,1,6:57:21.2,10:13:00,17:10:21,6,3:55:41.0,
2021,hard_enduro_alba-damascena-2021-day1.pdf,ENDUROX ALBA-DAMASCENA 2021,1,СЕНЬОРИ,DNF,,115,Ивайло ЙОРДАНОВ Honda CR250R,,,,,,,,,,,,
2021,hard_enduro_alba-damascena-2021-day1.pdf,ENDUROX ALBA-DAMASCENA 2021,1,СТАНДАРТ,FIN,1,321,Генади ИЛИЕВ,GASGAS EC 300,АЛБА ДАМАСЦЕНА -МСК,02:22:08,,,1,2:22:08.9,10:44:30,13:06:38,25,14:31.3,
2021,hard_enduro_alba-damascena-2021-day1.pdf,ENDUROX ALBA-DAMASCENA 2021,1,СТАНДАРТ,FIN,2,276,Гюннур ХОДЖА,Husqvarna TE300,АЛБА ДАМАСЦЕНА -МСК,02:35:36,,,1,2:35:36.3,10:45:00,13:20:36,22,27:58.7,
2021,hard_enduro_alba-damascena-2021-day1.pdf,ENDUROX ALBA-DAMASCENA 2021,1,СТАНДАРТ,FIN,3,48,Мариан МИТЕВ,Ktm 300 exc,АЛБА ДАМАСЦЕНА -МСК,02:40:18,,,1,2:40:18.1,10:47:30,13:27:48,20,32:40.5,
2021,hard_enduro_alba-damascena-2021-day1.pdf,ENDUROX ALBA-DAMASCENA 2021,1,СТАНДАРТ,FIN,4,196,Калоян НИКОЛОВ,Husqvarna tx300,МСК ХАРД ЕНДУРО ПЛЕВЕН,02:50:42,,,1,2:50:42.0,10:47:00,13:37:42,18,43:04.4,
2021,hard_enduro_alba-damascena-2021-day1.pdf,ENDUROX ALBA-DAMASCENA 2021,1,СТАНДАРТ,FIN,5,62,Богдан МИТОВ,ЕХЦ 500,МСК ЕКС ЕНДУРО КЪРНАРЕ,02:50:47,,,1,2:50:47.0,10:45:30,13:36:17,16,43:09.4,
2021,hard_enduro_alba-damascena-2021-day1.pdf,ENDUROX ALBA-DAMASCENA 2021,1,СТАНДАРТ,FIN,6,286,Дамян ДАМЯНОВ,KTM EXC 450,МСК ЕКС ЕНДУРО КЪРНАРЕ,03:02:57,,,1,3:02:57.9,10:48:00,13:50:57,15,55:20.3,
2021,hard_enduro_alba-damascena-2021-day1.pdf,ENDUROX ALBA-DAMASCENA 2021,1,СТАНДАРТ,FIN,7,311,Недялко БОЧЕВ,ЕХЦ 300,МСК ЕКС ЕНДУРО КЪРНАРЕ,03:03:03,,,1,3:03:03.1,10:46:30,13:49:33,14,55:25.5,
2021,hard_enduro_alba-damascena-2021-day1.pdf,ENDUROX ALBA-DAMASCENA 2021,1,СТАНДАРТ,FIN,8,323,Христо ДИМИТРОВ,Ktm 300exc six days,АЛБА ДАМАСЦЕНА -МСК,03:19:32,,,1,3:16:21.3,10:50:00,14:09:32,00:03:11,13 1:08:43.7,
2021,hard_enduro_alba-damascena-2021-day1.pdf,ENDUROX ALBA-DAMASCENA 2021,1,СТАНДАРТ,FIN,9,190,Кирил НАЧЕВ,KTM exc300,МСК ХАРД ЕНДУРО ПЛЕВЕН,03:17:12,,,1,3:17:12.0,10:49:30,14:06:42,12,1:09:34.4,
2021,hard_enduro_alba-damascena-2021-day1.pdf,ENDUROX ALBA-DAMASCENA 2021,1,СТАНДАРТ,FIN,10,606,Ростислав БОНЕВ,Husqvarna te250i,КРОС КЛУБ КИРКОВО,03:17:49,,,1,3:17:49.8,10:55:00,14:12:49,11,1:10:12.2,
2021,hard_enduro_alba-damascena-2021-day1.pdf,ENDUROX ALBA-DAMASCENA 2021,1,СТАНДАРТ,FIN,11,20,Крум БОЗДЕВ,KTM 300 TPI,ЕК ГОЦЕ ДЕЛЧЕВ,03:19:13,,,1,3:19:13.1,10:50:30,14:09:43,10,1:11:35.5,
2021,hard_enduro_alba-damascena-2021-day1.pdf,ENDUROX ALBA-DAMASCENA 2021,1,СТАНДАРТ,FIN,12,810,Валентин МИЛЕВ,Beta rr300,ЕК ЛУДА РАБОТА,03:19:29,,,1,3:19:29.4,10:49:00,14:08:29,9,1:11:51.8,
2021,hard_enduro_alba-damascena-2021-day1.pdf,ENDUROX ALBA-DAMASCENA 2021,1,СТАНДАРТ,FIN,13,777,Антон АНТОНОВ,Husqvarna TE300,МСК СЕВЛИЕВО,03:21:43,,,1,3:21:43.1,10:48:30,14:10:13,8,1:14:05.5,
2021,hard_enduro_alba-damascena-2021-day1.pdf,ENDUROX ALBA-DAMASCENA 2021,1,СТАНДАРТ,FIN,14,887,Николай ФРОЛОШКИ,KTM500EXC,МСК МОТО ДРУЖИНА БАНСК,03:26:47,,,1,3:26:47.2,11:03:00,14:29:47,7,1:19:09.6,
2021,hard_enduro_alba-damascena-2021-day1.pdf,ENDUROX ALBA-DAMASCENA 2021,1,СТАНДАРТ,FIN,15,223,Николай ИВАНОВ,Honda,МСК МОТО ДРУЖИНА БАНСК,03:27:09,,,1,3:27:09.7,11:02:30,14:29:39,6,1:19:32.1,
2021,hard_enduro_alba-damascena-2021-day1.pdf,ENDUROX ALBA-DAMASCENA 2021,1,СТАНДАРТ,FIN,16,588,Николай АВРАМОВ,GasGas Ec 250,МСК ХАРД РАЙДЪРС,03:32:53,,,1,3:32:53.9,10:52:30,14:25:23,5,1:25:16.3,
2021,hard_enduro_alba-damascena-2021-day1.pdf,ENDUROX ALBA-DAMASCENA 2021,1,СТАНДАРТ,FIN,17,660,Валентин АРАБОВ,KTM SX 300,КРОС КЛУБ КИРКОВО,03:35:57,,,1,3:35:57.4,10:51:30,14:27:27,4,1:28:19.8,
2021,hard_enduro_alba-damascena-2021-day1.pdf,ENDUROX ALBA-DAMASCENA 2021,1,СТАНДАРТ,FIN,18,619,Асен НЕДЕЛЧЕВ,Ктм 450 ехц,МСК МОТО ДРУЖИНА БАНСК,03:38:34,,,1,3:38:34.5,11:01:00,14:39:34,3,1:30:56.9,
2021,hard_enduro_alba-damascena-2021-day1.pdf,ENDUROX ALBA-DAMASCENA 2021,1,СТАНДАРТ,FIN,19,61,Христо ДИМОВ,KTM SX-F 350,АЛБА ДАМАСЦЕНА -МСК,03:40:21,,,1,3:40:21.4,10:57:30,14:37:51,2,1:32:43.8,
