year,event_file,event,day,class,status,position,start_number,rider_name,motorcycle,club,ride_time,gps_penalty,cp_penalty,laps,total_time,start_time,finish_time,points,gap_to_leader,partial_time
2026,hard_enduro_botevgrad-2026-day1.pdf,БОТЕВГРАД 2026,1,ПРОФИ ДЕН 1,FIN,1,393,Симеон НЕНКОВ,KTM 300 EXC,НК ЕНДУРО ВИКТОРИ,05:00:03,,,1,5:00:03.8,09:34:00,14:34:03,25,0,
2026,hard_enduro_botevgrad-2026-day1.pdf,БОТЕВГРАД 2026,1,ПРОФИ ДЕН 1,FIN,2,347,Димитър ИЛИЕВ,Husqvarna TE 300,ЕК ЛУДА РАБОТА,05:03:34,,,1,5:03:34.4,09:32:30,14:36:04,22,3:30.6,
2026,hard_enduro_botevgrad-2026-day1.pdf,БОТЕВГРАД 2026,1,ПРОФИ ДЕН 1,FIN,3,107,Калоян ТОДОРОВ,Ktm300 tpi,BulDock ROCKETS,05:03:49,,00:10:00,1,5:13:50.1,09:31:30,14:35:19,20,13:46.3,
2026,hard_enduro_botevgrad-2026-day1.pdf,БОТЕВГРАД 2026,1,ПРОФИ ДЕН 1,FIN,4,30,Илиян КУЗМАНОВ,Honda,СК АФГ ТИМ,05:05:01,,00:10:00,1,5:15:01.8,09:31:00,14:36:01,18,14:58.0,
2026,hard_enduro_botevgrad-2026-day1.pdf,БОТЕВГРАД 2026,1,ПРОФИ ДЕН 1,FIN,5,131,Борис ЧАКЪРОВ,HUSQVARNA TE 300,НК ЕНДУРО ВИКТОРИ,05:31:35,,,1,5:31:35.5,09:32:00,15:03:35,16,31:31.7,
2026,hard_enduro_botevgrad-2026-day1.pdf,БОТЕВГРАД 2026,1,ПРОФИ ДЕН 1,DNF,,217,Данаил КОСТАДИНОВ,,МСК ХАРД РАЙДЪРС,,,,,,,,,,
2026,hard_enduro_botevgrad-2026-day1.pdf,БОТЕВГРАД 2026,1,ПРОФИ ДЕН 1,DNF,,226,Иван ИВАНОВ,,,,,,,,,,,,
2026,hard_enduro_botevgrad-2026-day1.pdf,БОТЕВГРАД 2026,1,ПРОФИ ДЕН 1,DNF,,255,Димитър ТИНЧЕВ,,АЛБА ДАМАСЦЕНА МСК,,,,,,,,,,
2026,hard_enduro_botevgrad-2026-day1.pdf,БОТЕВГРАД 2026,1,ЕКСПЕРТ ДЕН 1,FIN,1,19,Любомир ИВАНОВ,GasGas 300,АЛБА ДАМАСЦЕНА МСК,02:34:49,,,1,2:34:49.3,09:40:30,12:15:19,25,0,
2026,hard_enduro_botevgrad-2026-day1.pdf,БОТЕВГРАД 2026,1,ЕКСПЕРТ ДЕН 1,FIN,2,281,Захари ШЕНТОВ,Sherco 300,СК АФГ ТИМ,02:43:38,,,1,2:43:38.6,09:40:30,12:24:08,22,8:49.3,
2026,hard_enduro_botevgrad-2026-day1.pdf,БОТЕВГРАД 2026,1,ЕКСПЕРТ ДЕН 1,FIN,3,772,Валентин РОГЛЕВ,KTM 250,СМК РИДО САМОКОВ,02:44:07,,,1,2:44:07.6,09:40:00,12:24:07,20,9:18.3,
2026,hard_enduro_botevgrad-2026-day1.pdf,БОТЕВГРАД 2026,1,ЕКСПЕРТ ДЕН 1,FIN,4,350,Цветан АЛЕКСИЕВ,KTM 350,МСК ЕКС ЕНДУРО КЪРНАРЕ,02:48:57,,,1,2:48:57.6,09:40:00,12:28:57,18,14:08.3,
2026,hard_enduro_botevgrad-2026-day1.pdf,БОТЕВГРАД 2026,1,ЕКСПЕРТ ДЕН 1,FIN,5,307,Милен ДИМИТРОВ,КТМ 300,МСК ЕНДУРО ЕКСТРИЙМ БОТ,02:49:37,,,1,2:49:37.7,09:41:30,12:31:07,16,14:48.4,
2026,hard_enduro_botevgrad-2026-day1.pdf,БОТЕВГРАД 2026,1,ЕКСПЕРТ ДЕН 1,FIN,6,94,Димитър ЦВЕТКОВ,KTM 300,НК ЕНДУРО ВИКТОРИ,02:58:07,,,1,2:58:07.6,09:41:00,12:39:07,15,23:18.3,
2026,hard_enduro_botevgrad-2026-day1.pdf,БОТЕВГРАД 2026,1,ЕКСПЕРТ ДЕН 1,FIN,7,464,Иван САРПИОНОВ,KTM EXC 300,МСК БС РЕЙСИНГ ТИЙМ,02:57:47,,00:10:00,1,3:07:47.2,09:41:00,12:38:47,14,32:57.9,
2026,hard_enduro_botevgrad-2026-day1.pdf,БОТЕВГРАД 2026,1,ЕКСПЕРТ ДЕН 1,FIN,8,57,Петър ПЕТРОВ,Gas Gas ec 300,ЕНДУРО КЛУБ СЕВТОПОЛИС,03:16:48,,,1,3:16:48.6,09:42:30,12:59:18,13,41:59.3,
2026,hard_enduro_botevgrad-2026-day1.pdf,БОТЕВГРАД 2026,1,ЕКСПЕРТ ДЕН 1,FIN,9,400,Иван ГЕНЧЕВ,Sherco 300 se,АЛБА ДАМАСЦЕНА МСК,03:23:57,,,1,3:23:57.7,09:42:30,13:06:27,12,49:08.4,
2026,hard_enduro_botevgrad-2026-day1.pdf,БОТЕВГРАД 2026,1,ЕКСПЕРТ ДЕН 1,FIN,10,915,Байрям КЪРМАДЖИ,Husqvarna 300Tbi,СК АФГ ТИМ,03:31:53,,00:10:00,1,3:41:53.4,09:41:30,13:13:23,11,1:07:04.1,
2026,hard_enduro_botevgrad-2026-day1.pdf,БОТЕВГРАД 2026,1,ЕКСПЕРТ ДЕН 1,FIN,11,171,Георги ПЕТРОВ,KTM EXC 200,МСК ПРЕПАРАТОРИТЕ,03:48:41,,,1,3:48:41.5,09:43:30,13:32:11,10,1:13:52.2,
2026,hard_enduro_botevgrad-2026-day1.pdf,БОТЕВГРАД 2026,1,ЕКСПЕРТ ДЕН 1,FIN,12,63,Теодор ТОДОРОВ,KTM,МСК ЕНДУРО ЕКСТРИЙМ БОТ,03:56:32,,,1,3:56:32.9,09:43:00,13:39:32,9,1:21:43.6,
2026,hard_enduro_botevgrad-2026-day1.pdf,БОТЕВГРАД 2026,1,ЕКСПЕРТ ДЕН 1,FIN,13,711,Светлин Иванов,Ktm,СК БС РЕЙСИНГ ТИЙМ,03:29:57,00:30:00,00:10:00,1,4:09:57.7,09:44:00,13:13:57,8,1:35:08.4,
2026,hard_enduro_botevgrad-2026-day1.pdf,БОТЕВГРАД 2026,1,ЕКСПЕРТ ДЕН 1,FIN,14,76,Мартин ХРИСТЕВ,Husqvarna te 300,ЕК ЛУДА РАБОТА,04:16:45,,,1,4:16:45.4,09:42:00,13:58:45,7,1:41:56.1,
2026,hard_enduro_botevgrad-2026-day1.pdf,БОТЕВГРАД 2026,1,ЕКСПЕРТ ДЕН 1,FIN,15,518,Камен ДОЧЕВ,Husqvarna TE 300,МСК ХАРД РАЙДЪРС,04:30:01,,,1,4:30:01.3,09:48:00,14:18:01,6,1:55:12.0,
2026,hard_enduro_botevgrad-2026-day1.pdf,БОТЕВГРАД 2026,1,ЕКСПЕРТ ДЕН 1,FIN,16,118,Петър БЕНЧЕВ,Gas Gas ec300,МСК ЕНДУРО ЕКСТРИЙМ БОТ,04:33:39,00:30:00,,1,5:03:39.6,09:43:30,14:17:09,5,2:28:50.3,
2026,hard_enduro_botevgrad-2026-day1.pdf,БОТЕВГРАД 2026,1,ЕКСПЕРТ ДЕН 1,FIN,17,84,Мартин ИВАНОВ,Husqvarna,МСК ХАРД РАЙДЪРС,05:05:22,,,1,5:05:22.4,09:42:00,14:47:22,4,2:30:33.1,
2026,hard_enduro_botevgrad-2026-day1.pdf,БОТЕВГРАД 2026,1,ЕКСПЕРТ ДЕН 1,FIN,18,183,Иван ТОДОРОВ,KTM EXC 300,МСК ХАРД РАЙДЪРС,05:14:48,,,1,5:14:48.6,09:43:00,14:57:48,3,2:39:59.3,
2026,hard_enduro_botevgrad-2026-day1.pdf,БОТЕВГРАД 2026,1,ЕКСПЕРТ ДЕН 1,FIN,19,595,Емил НЕДЕЛЧЕВ,BETA 300 RR RACING,МСК ЕНДУРО ВАРНА,05:40:04,,00:10:00,1,5:50:04.2,09:44:00,15:24:04,2,3:15:14.9,
2026,hard_enduro_botevgrad-2026-day1.pdf,БОТЕВГРАД 2026,1,ЕКСПЕРТ ДЕН 1,FIN,20,804,Александър КРЪШНЯК,gasgas EC300,МСК НСА МОТОРСПОРТ,06:31:09,,,1,6:31:09.0,09:44:30,16:15:39,1,3:56:19.7,
2026,hard_enduro_botevgrad-2026-day1.pdf,БОТЕВГРАД 2026,1,ЕКСПЕРТ ДЕН 1,FIN,21,17,Илиян МАНОЛОВ,KTM 300,МСК ХАРД РАЙДЪРС,05:56:06,01:00:00,,1,6:56:07.0,09:44:30,15:40:36,0,4:21:17.7,
2026,hard_enduro_botevgrad-2026-day1.pdf,БОТЕВГРАД 2026,1,ЕКСПЕРТ ДЕН 1,FIN,22,27,Методи ТРЕНЧЕВ,Gas Gas ec 300 tbi,МСК ЕКСТРИЙМ ЕНДУРО КРУП,07:29:01,,00:10:00,1,7:39:01.3,09:45:00,17:14:01,0,5:04:12.0,
2026,hard_enduro_botevgrad-2026-day1.pdf,БОТЕВГРАД 2026,1,ЕКСПЕРТ ДЕН 1,FIN,23,918,Ивайло СИВИНОВ,Husqvarna TE300I,МСК ПРЕПАРАТОРИТЕ,,,,0,,09:45:30,0,,,
2026,hard_enduro_botevgrad-2026-day1.pdf,БОТЕВГРАД 2026,1,ЕКСПЕРТ ДЕН 1,DNF,,18,Павел ЦАЦОВ,,,,,,,,,,,,
2026,hard_enduro_botevgrad-2026-day1.pdf,БОТЕВГРАД 2026,1,ЕКСПЕРТ ДЕН 1,DNF,,98,Светлин КАЦАРСКИ,,,,,,,,,,,,
2026,hard_enduro_botevgrad-2026-day1.pdf,БОТЕВГРАД 2026,1,ЕКСПЕРТ ДЕН 1,DNF,,203,Веско ПАСПАЛЕВ,,НК ЕНДУРО ВИКТОРИ,,,,,,,,,,10:00.2
2026,hard_enduro_botevgrad-2026-day1.pdf,БОТЕВГРАД 2026,1,ЕКСПЕРТ ДЕН 1,DNF,,222,Борислав ВЕЛИКОВ,,"МСК ""ЕКСТРИЙМ ЕНДУРО",,,,,,,,,,
2026,hard_enduro_botevgrad-2026-day1.pdf,БОТЕВГРАД 2026,1,ЕКСПЕРТ ДЕН 1,DNF,,257,Николай РУМЕНОВ,,,,,,,,,,,,7:10:55.4
2026,hard_enduro_botevgrad-2026-day1.pdf,БОТЕВГРАД 2026,1,ЕКСПЕРТ ДЕН 1,DNF,,270,Джанер КАМБЕРОВ,,"МСК ""ПРЕПАРАТОРИТЕ -",,,,,,,,,,
2026,hard_enduro_botevgrad-2026-day1.pdf,БОТЕВГРАД 2026,1,ЕКСПЕРТ ДЕН 1,DNF,,304,Светослав ПЕТКОВ,,,,,,,,,,,,10:00.2
2026,hard_enduro_botevgrad-2026-day1.pdf,БОТЕВГРАД 2026,1,ЕКСПЕРТ ДЕН 1,DNF,,331,Сони СОКОЛОВ,,"МСК ""ПРЕПАРАТОРИТЕ -",,,,,,,,,,
2026,hard_enduro_botevgrad-2026-day1.pdf,БОТЕВГРАД 2026,1,ЕКСПЕРТ ДЕН 1,DNF,,494,Димитър АТАНАСОВ,,"МСК ""ПРЕПАРАТОРИТЕ -",,,,,,,,,,4:35:23.4
2026,hard_enduro_botevgrad-2026-day1.pdf,БОТЕВГРАД 2026,1,ЕКСПЕРТ ДЕН 1,DNF,,499,Ивелин ТОДОРОВ,,"МСК ""ЕНДУРО ЕКСТРИЙМ",,,,,,,,,,10:00.2
2026,hard_enduro_botevgrad-2026-day1.pdf,БОТЕВГРАД 2026,1,ЕКСПЕРТ ДЕН 1,DNF,,500,Венцислав БОРИСЛАВОВ,,,,,,,,,,,,10:00.2
2026,hard_enduro_botevgrad-2026-day1.pdf,БОТЕВГРАД 2026,1,СЕНЬОРИ 40+ ДЕН 1,FIN,1,180,Николай СЛАВОВ,KTM 300 EXC,НК ЕНДУРО ВИКТОРИ,03:07:49,,,1,3:07:49.8,09:57:00,13:04:49,25,0,
2026,hard_enduro_botevgrad-2026-day1.pdf,БОТЕВГРАД 2026,1,СЕНЬОРИ 40+ ДЕН 1,FIN,2,125,Десислав ЦЕКОВ,Husqvarna TE300,МСК ХАРД РАЙДЪРС,03:28:21,,,1,3:28:21.8,09:55:00,13:23:21,22,20:32.0,
2026,hard_enduro_botevgrad-2026-day1.pdf,БОТЕВГРАД 2026,1,СЕНЬОРИ 40+ ДЕН 1,FIN,3,411,Калоян ТОТЕВ,КТМ ЕХС 300,МСК БАБИЧКА РЕЙСИНГ,03:46:48,,,1,3:46:48.0,09:55:00,13:41:48,20,38:58.2,
2026,hard_enduro_botevgrad-2026-day1.pdf,БОТЕВГРАД 2026,1,СЕНЬОРИ 40+ ДЕН 1,FIN,4,31,Христо МИХОВ,KTM 300 EXC,МСК ХАРД РАЙДЪРС,03:56:58,,,1,3:56:58.6,09:56:00,13:52:58,18,49:08.8,
2026,hard_enduro_botevgrad-2026-day1.pdf,БОТЕВГРАД 2026,1,СЕНЬОРИ 40+ ДЕН 1,FIN,5,78,Мирослав ДИМИТРОВ,KTM EXC 300,МСК ЕКСТРИЙМ ЕНДУРО КРУП,04:04:17,,,1,4:04:17.3,09:55:30,13:59:47,16,56:27.5,
2026,hard_enduro_botevgrad-2026-day1.pdf,БОТЕВГРАД 2026,1,СЕНЬОРИ 40+ ДЕН 1,FIN,6,79,Павел ИВАНОВ,GAS GAS,СК КЪРТАЧИТЕ,04:07:23,,,1,4:07:23.4,09:58:30,14:05:53,15,59:33.6,
