Поз,Ст.№,Състезател,Мотор,Отбор,Време,Старт,GPS,CP,Об.,Точки,Тотал,Изоставане
1,272,Кристиан ПЕТРОВ,KTM 300 EXC,МСК ХАРД РАЙДЪРС,05:32:27,09:18:00,14:50:27,00:02:30,1,25,5:29:57.4,0
2,30,Илиян КУЗМАНОВ,Honda,СК АФГ ТИМ,06:58:02,09:19:30,16:17:32,00:03:00,1,22,6:55:02.2,1:25:04.8
3,189,Красимир ДИМИТРОВ,KTM 300 ТПИ,МСК ХАРД РАЙДЪРС,08:27:44,09:18:30,17:46:14,00:08:00,1,20,8:19:43.7,2:49:46.3
DNF,13,Любомир СИНЕВ,,СПОРТЕН КЛУБ БУЛДОК,,,,,,0,,
DNF,107,Калоян ТОДОРОВ,,СПОРТЕН КЛУБ БУЛДОК,,,,,,0,,
DNF,217,Данаил КОСТАДИНОВ,,МСК ХАРД РАЙДЪРС,,,,,,0,,
DNF,255,Димитър ТИНЧЕВ,,АЛБА ДАМАСЦЕНА МСК,,,,,,0,,
DNF,412,Цветан МИХАЙЛОВ,,"МСК ""ПРЕПАРАТОРИТЕ -",,,,,,0,,
