Поз,Ст.№,Състезател,Мотор,Отбор,Време,Старт,GPS,CP,Об.,Точки,Тотал,Изоставане
1,339,Ясен ПОПОВ,KTM 300 EXC,НК ЕНДУРО ВИКТОРИ,03:56:51,09:12:00,13:08:51,,1,25,3:56:51.0,0
2,511,Илиян ВЕЛКОВСКИ,Husqvarna,СК БС РЕЙСИНГ ТИЙМ,03:56:58,09:13:00,13:09:58,,1,22,3:56:58.2,7.2
3,727,Ивайло ПЕТРОВ,KTM 300 EXC,МСК ХАРД РАЙДЪРС,04:25:30,09:12:30,13:38:00,,1,20,4:25:30.1,28:39.1
4,501,Дилян ДИЧЕВ,KTM 300 EXC,МСК ХАРД ЕНДУРО ПЛЕВЕН,04:39:02,09:13:00,13:52:02,,1,18,4:39:02.8,42:11.8
5,50,Панчо КУЗМАНОВ,Honda CR 250,СК АФГ ТИМ,06:34:20,09:12:00,15:46:20,01:00:00,1,16,7:34:20.1,3:37:29.1
DNF,303,Емил БРАТОЕВ,,МСК ХАРД ЕНДУРО ПЛЕВ,,,,,,0,,
