Поз,Ст.№,Състезател,Мотор,Отбор,Време,Старт,GPS,CP,Об.,Точки,Тотал,Изоставане
1,415,Диан ИВАНОВ,KTM sx85,МСК РИСК ГАБРОВО,03:07:17,09:06:00,12:13:17,,1,25,3:07:17.8,0
2,284,Илиан ЙОРДАНОВ,KTM 85 sx,НК ЕНДУРО ВИКТОРИ,03:36:17,09:06:00,12:42:17,00:30:00,1,22,4:06:17.1,58:59.3
DNF,103,Борис ЛЮБЕНОВ,,МОТО ДРУЖИНА БАНСКО,,,,,,0,,
DNF,116,Николай ВЕЛИКОВ,,"МСК ""ЕКСТРИЙМ ЕНДУРО",,,,,,0,,
DNF,787,Виктор ГЕНЧЕВ,,НК ЕНДУРО ВИКТОРИ,,,,,,0,,
