Поз,Ст.№,Състезател,Мотор,Отбор,Време,Старт,GPS,CP,Об.,Точки,Тотал,Изоставане
1,533,Атанаска МЛАДЕНОВА,GASGAS,МСК ПРЕПАРАТОРИТЕ,03:09:10,09:08:30,12:17:40,,1,25,3:09:10.6,1:01:39.8
2,10,Никол ИЛИЕВА,KTM,МСК ПРЕПАРАТОРИТЕ,03:09:52,09:08:00,12:17:52,,1,22,3:09:52.7,1:02:21.9
3,750,Рая МОНЕВА,Хускварна т150,АЛБА ДАМАСЦЕНА МСК,03:12:56,09:08:00,12:20:56,,1,20,3:12:56.0,1:05:25.2
4,616,Димитрия МАРЧЕВА,KTM 150 EXC,МСК ЕНДУРО ВАРНА,04:04:25,09:09:00,13:13:25,,1,18,4:04:25.3,1:56:54.5
5,407,Преслава ГЕОРГИЕВА,Husqvarna te250,АЛБА ДАМАСЦЕНА МСК,03:43:25,09:08:30,12:51:55,00:30:00,1,16,4:13:25.5,2:05:54.7
6,121,Мария ГЕРАШКА,GASGAS EC 250,МСК ЕНДУРО ЕКСТРИЙМ БОТ,04:37:42,09:09:30,13:47:12,,1,15,4:37:42.1,2:30:11.3
DNF,706,Владислава СЛАВОВА,,АЛБА ДАМАСЦЕНА МСК,2:07:30.8,,,,,0,,
